Rank,Title,Studio,BO,Op,Open,Close,RT,Tag,Cat,ID
1,Star Wars: The Last Jedi,Disney,597718476,220009584,12/15/18,-,90,5,Disney,1
2,Beauty and the Beast,Disney,504014165,174750616,3/17/18,7/13/18,71,4,Disney,1
3,Wonder Woman,Warner Bros.,412563408,103251471,6/2/18,11/9/18,92,5,Warner Bros.,2
4,Guardians of the Galaxy Vol. 2,Disney,389813101,146510104,5/5/18,9/21/18,81,5,Disney,1
5,Spider-Man: Homecoming,Sony,334201140,117027503,7/7/18,11/30/18,93,5,Sony,4
6,It,Warner Bros.,327481748,123403419,9/8/18,12/14/18,85,5,Warner Bros.,2
7,Thor: Ragnarok,Disney,313198531,122744989,11/3/18,-,92,5,Disney,1
8,Jumanji: Welcome to the Jungle,Sony,296945148,36169328,12/20/18,-,76,4,Sony,4
9,Despicable Me 3,Universal,264624300,72434025,6/30/18,12/21/18,63,4,Universal,3
10,Justice League,Warner Bros.,227576070,93842239,11/17/18,-,41,3,Warner Bros.,2
11,Logan,Fox,226277068,88411916,3/3/18,7/13/18,93,5,Fox,6
12,The Fate of the Furious,Universal,226008385,98786705,4/14/18,8/10/18,66,4,Universal,3
13,Coco,Disney,198816300,50802605,11/22/18,-,97,5,Disney,1
14,Dunkirk,Warner Bros.,188045546,50513488,7/21/18,11/23/18,92,5,Warner Bros.,2
15,The LEGO Batman Movie,Warner Bros.,175750384,53003468,2/10/18,6/8/18,90,5,Warner Bros.,2
16,Get Out,Universal,175686870,33377060,2/24/18,7/13/18,99,5,Universal,3
17,The Boss Baby,Fox,175003033,50198902,3/31/18,11/2/18,52,3,Fox,6
18,Pirates of the Caribbean: Dead Men Tell No Tales,Disney,172558876,62983253,5/26/18,9/21/18,29,2,Disney,1
19,Kong: Skull Island,Warner Bros.,168052812,61025472,3/10/18,6/15/18,76,4,Warner Bros.,2
20,Cars 3,Disney,152901115,53688680,6/16/18,11/2/18,66,4,Disney,1
21,War for the Planet of the Apes,Fox,146880162,56262929,7/14/18,11/30/18,95,5,Fox,6
22,Split,Universal,138291365,40010975,1/20/18,5/11/18,75,4,Universal,3
23,Transformers: The Last Knight,Paramount,130168683,44680073,6/21/18,8/24/18,15,1,Paramount,5
24,Wonder,Lionsgate,129354701,27547866,11/17/18,-,85,5,Lionsgate,7
25,Girls Trip,Universal,115171585,31201920,7/21/18,10/19/18,88,5,Universal,3
26,Fifty Shades Darker,Universal,114581250,46607250,2/10/18,4/6/18,10,1,Universal,3
27,Baby Driver,Sony,107825862,20553320,6/28/18,10/19/18,97,5,Sony,4
28,Daddy's Home 2,Paramount,103332780,29651193,11/10/18,-,16,1,Paramount,5
29,The Greatest Showman,Fox,102480607,8805843,12/20/18,-,55,3,Fox,6
30,Murder on the Orient Express,Fox,102122111,28681472,11/10/18,-,59,3,Fox,6
31,Annabelle: Creation,Warner Bros.,102092201,35006404,8/11/18,11/2/18,68,4,Warner Bros.,2
32,Kingsman: The Golden Circle,Fox,100234838,39023010,9/22/18,1/4/18,51,3,Fox,6
33,Pitch Perfect 3,Universal,97513045,19928525,12/22/18,-,31,2,Universal,3
34,John Wick: Chapter Two,Lionsgate,92029184,30436123,2/10/18,4/27/18,89,5,Lionsgate,7
35,Blade Runner 2049,Warner Bros.,91952038,32753122,10/6/18,-,87,5,Warner Bros.,2
36,The Emoji Movie,Sony,86089513,24531923,7/28/18,11/30/18,6,1,Sony,4
37,Power Rangers,Lionsgate,85364450,40300288,3/24/18,6/1/18,47,3,Lionsgate,7
38,The Mummy,Universal,80227895,31688375,6/9/18,8/24/18,15,1,Universal,3
39,Ferdinand,Fox,77486216,13401586,12/15/18,-,70,4,Fox,6
40,The Hitman's Bodyguard,Lionsgate,75468583,21384504,8/18/18,11/2/18,40,2,Lionsgate,7
41,Alien: Covenant,Fox,74262031,36160621,5/19/18,8/31/18,71,4,Fox,6
42,Captain Underpants: The First Epic Movie,Fox,73921000,23851539,6/2/18,11/2/18,85,5,Fox,6
43,A Bad Moms Christmas,STX,72110659,16759161,11/1/18,1/11/18,28,2,Independent,8
44,A Dog's Purpose,Universal,64508620,18222810,1/27/18,5/18/18,30,2,Universal,3
45,The LEGO Ninjago Movie,Warner Bros.,59281555,20433071,9/22/18,11/30/18,54,3,Warner Bros.,2
46,Baywatch,Paramount,58060186,18503871,5/25/18,7/27/18,19,1,Paramount,5
47,The Shack,Lionsgate,57386418,16172119,3/3/18,5/18/18,21,2,Lionsgate,7
48,Happy Death Day,Universal,55683845,26039025,10/13/18,12/14/18,71,4,Universal,3
49,Atomic Blonde,Focus,51687870,18286420,7/28/18,10/5/18,75,4,Independent,8
50,American Made,Universal,51342000,16776390,9/29/18,12/14/18,87,5,Universal,3
51,The Dark Tower,Sony,50701325,19153698,8/4/18,10/19/18,18,1,Sony,4
52,Tyler Perry's Boo 2! A Madea Halloween,Lionsgate,47319572,21226953,10/20/18,12/14/18,6,1,Lionsgate,7
53,Snatched,Fox,45852178,19542248,5/12/18,8/3/18,35,2,Fox,6
54,The Great Wall,Universal,45540830,18469620,2/17/18,6/1/18,35,2,Universal,3
55,Smurfs: The Lost Village,Sony,45020282,13210449,4/7/18,8/3/18,37,2,Sony,4
56,Going in Style,Warner Bros.,45018541,11932330,4/7/18,7/13/18,46,3,Warner Bros.,2
57,All Eyez on Me,Lionsgate,44922302,26435354,6/16/18,8/3/18,18,1,Lionsgate,7
58,xXx: The Return of Xander Cage,Paramount,44898413,20130142,1/20/18,3/16/18,43,3,Paramount,5
